Timestamp,UTC,Latitude,Longitude
1742920367.0829763,2025/03/25 - 16:32:46,49.38485383333333,1.0678593333333333
1742920367.1975334,2025/03/25 - 16:32:47,49.384856166666665,1.0678623333333332
1742920368.2211,2025/03/25 - 16:32:48,49.384861666666666,1.0678661666666667
1742920369.244992,2025/03/25 - 16:32:49,49.3848725,1.0678681666666667
1742920370.2688003,2025/03/25 - 16:32:50,49.38488533333333,1.0678743333333334
1742920371.2382276,2025/03/25 - 16:32:51,49.38489633333333,1.0678818333333333
1742920372.2450385,2025/03/25 - 16:32:52,49.38490816666667,1.0678908333333332
1742920373.2871614,2025/03/25 - 16:32:53,49.3849185,1.0679056666666666
1742920374.2723541,2025/03/25 - 16:32:54,49.38492883333333,1.0679161666666666
1742920375.263424,2025/03/25 - 16:32:55,49.3849425,1.067922
1742920376.2481709,2025/03/25 - 16:32:56,49.38496216666667,1.0679335
1742920377.2353642,2025/03/25 - 16:32:57,49.384978,1.0679513333333333
1742920378.219974,2025/03/25 - 16:32:58,49.384988,1.0679631666666667
1742920379.2597146,2025/03/25 - 16:32:59,49.3849935,1.0679728333333334
1742920380.245247,2025/03/25 - 16:33:00,49.38499783333333,1.067981
1742920381.2315006,2025/03/25 - 16:33:01,49.385001833333334,1.0679906666666668
1742920382.2226775,2025/03/25 - 16:33:02,49.385005,1.0680018333333334
1742920383.2653475,2025/03/25 - 16:33:03,49.385005166666666,1.0680136666666666
1742920384.2489083,2025/03/25 - 16:33:04,49.385007333333334,1.0680228333333333
1742920385.2355015,2025/03/25 - 16:33:05,49.385015,1.0680311666666666
1742920386.220983,2025/03/25 - 16:33:06,49.38502,1.068039
1742920387.26246,2025/03/25 - 16:33:07,49.38502316666666,1.0680488333333333
1742920388.2442508,2025/03/25 - 16:33:08,49.38502483333333,1.068061
1742920389.2291512,2025/03/25 - 16:33:09,49.38502583333333,1.068076
1742920390.2153897,2025/03/25 - 16:33:10,49.38502716666667,1.0680868333333333
1742920391.2582843,2025/03/25 - 16:33:11,49.3850295,1.0680966666666667
1742920392.244998,2025/03/25 - 16:33:12,49.385033,1.0681063333333334
1742920393.2325454,2025/03/25 - 16:33:13,49.385036166666666,1.0681151666666666
1742920394.2752163,2025/03/25 - 16:33:14,49.385043333333336,1.0681226666666666
1742920395.2630196,2025/03/25 - 16:33:15,49.3850565,1.0681308333333333
1742920396.247218,2025/03/25 - 16:33:16,49.385068,1.0681386666666666
1742920397.2424157,2025/03/25 - 16:33:17,49.385084166666665,1.0681479999999999
1742920398.2883801,2025/03/25 - 16:33:18,49.385099333333336,1.0681585
1742920399.3305428,2025/03/25 - 16:33:19,49.3851135,1.068172
1742920400.2628245,2025/03/25 - 16:33:20,49.38512683333333,1.0681848333333333
1742920401.306769,2025/03/25 - 16:33:21,49.38514583333333,1.0681936666666667
1742920402.2395484,2025/03/25 - 16:33:22,49.3851615,1.0682028333333333
1742920403.2792664,2025/03/25 - 16:33:23,49.38517783333333,1.0682118333333332
1742920404.2637842,2025/03/25 - 16:33:24,49.38519383333333,1.0682236666666667
1742920405.248343,2025/03/25 - 16:33:25,49.385214166666664,1.0682325
1742920406.2322078,2025/03/25 - 16:33:26,49.38523883333333,1.068236
1742920407.2767186,2025/03/25 - 16:33:27,49.38526183333333,1.0682338333333332
1742920408.2590396,2025/03/25 - 16:33:28,49.38528516666667,1.0682361666666667
1742920409.2432325,2025/03/25 - 16:33:29,49.38530383333333,1.0682441666666667
1742920410.285394,2025/03/25 - 16:33:30,49.385320166666666,1.0682533333333333
1742920411.2710102,2025/03/25 - 16:33:31,49.38533483333333,1.0682653333333334
1742920412.260502,2025/03/25 - 16:33:32,49.38535016666667,1.0682755
1742920413.248346,2025/03/25 - 16:33:33,49.38536333333333,1.0682875
1742920414.2370675,2025/03/25 - 16:33:34,49.38538233333333,1.0682983333333333
